,Series_Title,Genre,Overview,Director,Star1,Star2,Star3,Star4,Concatenated_Text
348,deadpool,"action, adventure, comedy",wisecrack mercenari get experi becom immort ugli set track man ruin look,tim miller,ryan reynolds,morena baccarin,t.j. miller,ed skrein,"deadpool action, adventure, comedy wisecrack mercenari get experi becom immort ugli set track man ruin look tim miller ryan reynolds morena baccarin t.j. miller ed skrein"
349,darbareye elly,"drama, mystery",mysteri disappear kindergarten teacher picnic north iran follow seri misadventur fellow travel,asghar farhadi,golshifteh farahani,shahab hosseini,taraneh alidoosti,merila zare'i,"darbareye elly drama, mystery mysteri disappear kindergarten teacher picnic north iran follow seri misadventur fellow travel asghar farhadi golshifteh farahani shahab hosseini taraneh alidoosti merila zare'i"
350,dev.d,"drama, romance",break childhood sweetheart young man find solac drug meanwhil teenag girl caught world prostitut destroy find redempt,anurag kashyap,abhay deol,mahie gill,kalki koechlin,dibyendu bhattacharya,"dev.d drama, romance break childhood sweetheart young man find solac drug meanwhil teenag girl caught world prostitut destroy find redempt anurag kashyap abhay deol mahie gill kalki koechlin dibyendu bhattacharya"
351,yip man,"action, biography, drama",japanes invas china wealthi martial artist forc leav home citi occupi littl mean provid ip man remain member citi must find way surviv,wilson yip,donnie yen,simon yam,siu-wong fan,ka tung lam,"yip man action, biography, drama japanes invas china wealthi martial artist forc leav home citi occupi littl mean provid ip man remain member citi must find way surviv wilson yip donnie yen simon yam siu-wong fan ka tung lam"
352,my name is khan,drama,indian muslim man asperg syndrom take challeng speak presid unit state serious embark crosscountri journey,karan johar,shah rukh khan,kajol,sheetal menon,katie a. keane,my name is khan drama indian muslim man asperg syndrom take challeng speak presid unit state serious embark crosscountri journey karan johar shah rukh khan kajol sheetal menon katie a. keane
353,nefes: vatan sagolsun,"action, drama, thriller",stori man turkish task forc must defend relay station,levent semerci,erdem can,mete horozoglu,ilker kizmaz,baris bagci,"nefes: vatan sagolsun action, drama, thriller stori man turkish task forc must defend relay station levent semerci erdem can mete horozoglu ilker kizmaz baris bagci"
354,slumdog millionaire,"drama, romance",mumbai teenag reflect life accus cheat indian version want millionair,danny boyle,loveleen tandan,dev patel,freida pinto,saurabh shukla,"slumdog millionaire drama, romance mumbai teenag reflect life accus cheat indian version want millionair danny boyle loveleen tandan dev patel freida pinto saurabh shukla"
355,black swan,"drama, thriller",commit dancer struggl maintain saniti win lead role product tchaikovski swan lake,darren aronofsky,natalie portman,mila kunis,vincent cassel,winona ryder,"black swan drama, thriller commit dancer struggl maintain saniti win lead role product tchaikovski swan lake darren aronofsky natalie portman mila kunis vincent cassel winona ryder"
356,tropa de elite,"action, crime, drama",rio de janeiro captain nascimento find substitut posit tri take drug dealer crimin pope visit,josé padilha,wagner moura,andré ramiro,caio junqueira,milhem cortaz,"tropa de elite action, crime, drama rio de janeiro captain nascimento find substitut posit tri take drug dealer crimin pope visit josé padilha wagner moura andré ramiro caio junqueira milhem cortaz"
357,the avengers,"action, adventure, sci-fi",earth mightiest hero must come togeth learn fight team go stop mischiev loki alien armi enslav human,joss whedon,robert downey jr.,chris evans,scarlett johansson,jeremy renner,"the avengers action, adventure, sci-fi earth mightiest hero must come togeth learn fight team go stop mischiev loki alien armi enslav human joss whedon robert downey jr. chris evans scarlett johansson jeremy renner"
358,persepolis,"animation, biography, drama",precoci outspoken iranian girl grow islam revolut,vincent paronnaud,marjane satrapi,chiara mastroianni,catherine deneuve,gena rowlands,"persepolis animation, biography, drama precoci outspoken iranian girl grow islam revolut vincent paronnaud marjane satrapi chiara mastroianni catherine deneuve gena rowlands"
359,dallas buyers club,"biography, drama",dalla electrician hustler ron woodroof work around system help aid patient get medic need diagnos diseas,jean-marc vallée,matthew mcconaughey,jennifer garner,jared leto,steve zahn,"dallas buyers club biography, drama dalla electrician hustler ron woodroof work around system help aid patient get medic need diagnos diseas jean-marc vallée matthew mcconaughey jennifer garner jared leto steve zahn"
360,the pursuit of happyness,"biography, drama",struggl salesman take custodi son he pois begin lifechang profession career,gabriele muccino,will smith,thandie newton,jaden smith,brian howe,"the pursuit of happyness biography, drama struggl salesman take custodi son he pois begin lifechang profession career gabriele muccino will smith thandie newton jaden smith brian howe"
361,blood diamond,"adventure, drama, thriller",fisherman smuggler syndic businessmen match wit possess priceless diamond,edward zwick,leonardo dicaprio,djimon hounsou,jennifer connelly,kagiso kuypers,"blood diamond adventure, drama, thriller fisherman smuggler syndic businessmen match wit possess priceless diamond edward zwick leonardo dicaprio djimon hounsou jennifer connelly kagiso kuypers"
362,the bourne ultimatum,"action, mystery, thriller",jason bourn dodg ruthless cia offici agent new assassin program search origin life train killer,paul greengrass,matt damon,edgar ramírez,joan allen,julia stiles,"the bourne ultimatum action, mystery, thriller jason bourn dodg ruthless cia offici agent new assassin program search origin life train killer paul greengrass matt damon edgar ramírez joan allen julia stiles"
363,bin-jip,"crime, drama, romance",transient young man break empti home partak vacat resid live day,ki-duk kim,seung-yun lee,hee jae,hyuk-ho kwon,jin-mo joo,"bin-jip crime, drama, romance transient young man break empti home partak vacat resid live day ki-duk kim seung-yun lee hee jae hyuk-ho kwon jin-mo joo"
364,sin city,"crime, thriller",movi explor dark miser town basin citi tell stori three differ peopl caught violent corrupt,frank miller,quentin tarantino,robert rodriguez,mickey rourke,clive owen,"sin city crime, thriller movi explor dark miser town basin citi tell stori three differ peopl caught violent corrupt frank miller quentin tarantino robert rodriguez mickey rourke clive owen"
365,le scaphandre et le papillon,"biography, drama",true stori ell editor jeandominiqu baubi suffer stroke live almost total paralyz bodi left eye isnt paralyz,julian schnabel,laura obiols,mathieu amalric,emmanuelle seigner,marie-josée croze,"le scaphandre et le papillon biography, drama true stori ell editor jeandominiqu baubi suffer stroke live almost total paralyz bodi left eye isnt paralyz julian schnabel laura obiols mathieu amalric emmanuelle seigner marie-josée croze"
366,g.o.r.a.,"adventure, comedy, sci-fi",slick young turk kidnap extraterrestri show great humanitarian spirit outwit evil commanderinchief planet gora,ömer faruk sorak,cem yilmaz,özge özberk,ozan güven,safak sezer,"g.o.r.a. adventure, comedy, sci-fi slick young turk kidnap extraterrestri show great humanitarian spirit outwit evil commanderinchief planet gora ömer faruk sorak cem yilmaz özge özberk ozan güven safak sezer"
