,Series_Title,Genre,Overview,Director,Star1,Star2,Star3,Star4,Concatenated_Text
882,just mercy,"biography, crime, drama",worldrenown civil right defens attorney bryan stevenson work free wrongli condemn death row prison,destin daniel cretton,michael b. jordan,jamie foxx,brie larson,charlie pye jr.,"just mercy biography, crime, drama worldrenown civil right defens attorney bryan stevenson work free wrongli condemn death row prison destin daniel cretton michael b. jordan jamie foxx brie larson charlie pye jr."
883,gifted,drama,frank singl man rais child prodigi niec mari drawn custodi battl mother,marc webb,chris evans,mckenna grace,lindsay duncan,octavia spencer,gifted drama frank singl man rais child prodigi niec mari drawn custodi battl mother marc webb chris evans mckenna grace lindsay duncan octavia spencer
884,the peanut butter falcon,"adventure, comedy, drama",zak run away care home make dream becom wrestler come true,tyler nilson,michael schwartz,zack gottsagen,ann owens,dakota johnson,"the peanut butter falcon adventure, comedy, drama zak run away care home make dream becom wrestler come true tyler nilson michael schwartz zack gottsagen ann owens dakota johnson"
885,victoria,"crime, drama, romance",young spanish woman recent move berlin find flirtat local guy turn potenti deadli night friend reveal danger secret,sebastian schipper,laia costa,frederick lau,franz rogowski,burak yigit,"victoria crime, drama, romance young spanish woman recent move berlin find flirtat local guy turn potenti deadli night friend reveal danger secret sebastian schipper laia costa frederick lau franz rogowski burak yigit"
886,mustang,drama,five orphan girl seen innoc play boy beach scandal conserv guardian confin forc marriag arrang,deniz gamze ergüven,günes sensoy,doga zeynep doguslu,tugba sunguroglu,elit iscan,mustang drama five orphan girl seen innoc play boy beach scandal conserv guardian confin forc marriag arrang deniz gamze ergüven günes sensoy doga zeynep doguslu tugba sunguroglu elit iscan
887,guardians of the galaxy vol. 2,"action, adventure, comedy",guardian struggl keep togeth team deal person famili issu notabl starlord encount father ambiti celesti ego,james gunn,chris pratt,zoe saldana,dave bautista,vin diesel,"guardians of the galaxy vol. 2 action, adventure, comedy guardian struggl keep togeth team deal person famili issu notabl starlord encount father ambiti celesti ego james gunn chris pratt zoe saldana dave bautista vin diesel"
888,baby driver,"action, crime, drama",coerc work crime boss young getaway driver find take part heist doom fail,edgar wright,ansel elgort,jon bernthal,jon hamm,eiza gonzález,"baby driver action, crime, drama coerc work crime boss young getaway driver find take part heist doom fail edgar wright ansel elgort jon bernthal jon hamm eiza gonzález"
889,only the brave,"action, biography, drama",base true stori granit mountain hotshot group elit firefight risk everyth protect town histor wildfir,joseph kosinski,josh brolin,miles teller,jeff bridges,jennifer connelly,"only the brave action, biography, drama base true stori granit mountain hotshot group elit firefight risk everyth protect town histor wildfir joseph kosinski josh brolin miles teller jeff bridges jennifer connelly"
890,bridge of spies,"drama, history, thriller",cold war american lawyer recruit defend arrest soviet spi court help cia facilit exchang spi soviet captur american u spi plane pilot franci gari power,steven spielberg,tom hanks,mark rylance,alan alda,amy ryan,"bridge of spies drama, history, thriller cold war american lawyer recruit defend arrest soviet spi court help cia facilit exchang spi soviet captur american u spi plane pilot franci gari power steven spielberg tom hanks mark rylance alan alda amy ryan"
891,incredibles 2,"animation, action, adventure",incred famili take new mission involv chang famili role bob parr mr incred must manag hous wife helen elastigirl goe save world,brad bird,craig t. nelson,holly hunter,sarah vowell,huck milner,"incredibles 2 animation, action, adventure incred famili take new mission involv chang famili role bob parr mr incred must manag hous wife helen elastigirl goe save world brad bird craig t. nelson holly hunter sarah vowell huck milner"
892,moana,"animation, adventure, comedy",ancient polynesia terribl curs incur demigod maui reach moana island answer ocean call seek demigod set thing right,ron clements,john musker,don hall,chris williams,auli'i cravalho,"moana animation, adventure, comedy ancient polynesia terribl curs incur demigod maui reach moana island answer ocean call seek demigod set thing right ron clements john musker don hall chris williams auli'i cravalho"
893,sicario,"action, crime, drama",idealist fbi agent enlist govern task forc aid escal war drug border area us mexico,denis villeneuve,emily blunt,josh brolin,benicio del toro,jon bernthal,"sicario action, crime, drama idealist fbi agent enlist govern task forc aid escal war drug border area us mexico denis villeneuve emily blunt josh brolin benicio del toro jon bernthal"
894,creed,"drama, sport",former world heavyweight champion rocki balboa serv trainer mentor adoni johnson son late friend former rival apollo creed,ryan coogler,michael b. jordan,sylvester stallone,tessa thompson,phylicia rashad,"creed drama, sport former world heavyweight champion rocki balboa serv trainer mentor adoni johnson son late friend former rival apollo creed ryan coogler michael b. jordan sylvester stallone tessa thompson phylicia rashad"
895,leviafan,"crime, drama",russian coastal town kolya forc fight corrupt mayor told hous demolish recruit lawyer friend help man arriv bring misfortun kolya famili,andrey zvyagintsev,aleksey serebryakov,elena lyadova,roman madyanov,vladimir vdovichenkov,"leviafan crime, drama russian coastal town kolya forc fight corrupt mayor told hous demolish recruit lawyer friend help man arriv bring misfortun kolya famili andrey zvyagintsev aleksey serebryakov elena lyadova roman madyanov vladimir vdovichenkov"
896,hell or high water,"action, crime, drama",divorc father excon older brother resort desper scheme order save famili ranch west texa,david mackenzie,chris pine,ben foster,jeff bridges,gil birmingham,"hell or high water action, crime, drama divorc father excon older brother resort desper scheme order save famili ranch west texa david mackenzie chris pine ben foster jeff bridges gil birmingham"
897,philomena,"biography, comedy, drama",worldweari polit journalist pick stori woman search son taken away decad ago becam pregnant forc live convent,stephen frears,judi dench,steve coogan,sophie kennedy clark,mare winningham,"philomena biography, comedy, drama worldweari polit journalist pick stori woman search son taken away decad ago becam pregnant forc live convent stephen frears judi dench steve coogan sophie kennedy clark mare winningham"
898,dawn of the planet of the apes,"action, adventure, drama",grow nation genet evolv ape led caesar threaten band human survivor devast viru unleash decad earlier,matt reeves,gary oldman,keri russell,andy serkis,kodi smit-mcphee,"dawn of the planet of the apes action, adventure, drama grow nation genet evolv ape led caesar threaten band human survivor devast viru unleash decad earlier matt reeves gary oldman keri russell andy serkis kodi smit-mcphee"
899,el cuerpo,"mystery, thriller",detect search bodi femm fatal gone miss morgu,oriol paulo,jose coronado,hugo silva,belén rueda,aura garrido,"el cuerpo mystery, thriller detect search bodi femm fatal gone miss morgu oriol paulo jose coronado hugo silva belén rueda aura garrido"
900,serbuan maut,"action, thriller",swat team becom trap tenement run ruthless mobster armi killer thug,gareth evans,iko uwais,ananda george,ray sahetapy,donny alamsyah,"serbuan maut action, thriller swat team becom trap tenement run ruthless mobster armi killer thug gareth evans iko uwais ananda george ray sahetapy donny alamsyah"
901,end of watch,"action, crime, drama",shot documentarystyl film follow daili grind two young polic offic la partner friend happen meet crimin forc greater,david ayer,jake gyllenhaal,michael peña,anna kendrick,america ferrera,"end of watch action, crime, drama shot documentarystyl film follow daili grind two young polic offic la partner friend happen meet crimin forc greater david ayer jake gyllenhaal michael peña anna kendrick america ferrera"
902,kari-gurashi no arietti,"animation, adventure, family",clock famili fourinchtal peopl live anonym anoth famili resid borrow simpl item make home life chang clock teenag daughter arrietti discov,hiromasa yonebayashi,amy poehler,mirai shida,ryûnosuke kamiki,tatsuya fujiwara,"kari-gurashi no arietti animation, adventure, family clock famili fourinchtal peopl live anonym anoth famili resid borrow simpl item make home life chang clock teenag daughter arrietti discov hiromasa yonebayashi amy poehler mirai shida ryûnosuke kamiki tatsuya fujiwara"
903,a star is born,"drama, music, romance",musician help young singer find fame age alcohol send career downward spiral,bradley cooper,lady gaga,bradley cooper,sam elliott,greg grunberg,"a star is born drama, music, romance musician help young singer find fame age alcohol send career downward spiral bradley cooper lady gaga bradley cooper sam elliott greg grunberg"
904,true grit,"drama, western",stubborn teenag enlist help tough us marshal track father murder,ethan coen,joel coen,jeff bridges,matt damon,hailee steinfeld,"true grit drama, western stubborn teenag enlist help tough us marshal track father murder ethan coen joel coen jeff bridges matt damon hailee steinfeld"
905,hævnen,"drama, romance",live two danish famili cross extraordinari riski friendship come bud loneli frailti sorrow lie wait,susanne bier,mikael persbrandt,trine dyrholm,markus rygaard,wil johnson,"hævnen drama, romance live two danish famili cross extraordinari riski friendship come bud loneli frailti sorrow lie wait susanne bier mikael persbrandt trine dyrholm markus rygaard wil johnson"
906,despicable me,"animation, comedy, crime",crimin mastermind use trio orphan girl pawn grand scheme find love profoundli chang better,pierre coffin,chris renaud,steve carell,jason segel,russell brand,"despicable me animation, comedy, crime crimin mastermind use trio orphan girl pawn grand scheme find love profoundli chang better pierre coffin chris renaud steve carell jason segel russell brand"
907,50/50,"comedy, drama, romance",inspir true stori comedi center yearold guy learn cancer diagnosi subsequ struggl beat diseas,jonathan levine,joseph gordon-levitt,seth rogen,anna kendrick,bryce dallas howard,"50/50 comedy, drama, romance inspir true stori comedi center yearold guy learn cancer diagnosi subsequ struggl beat diseas jonathan levine joseph gordon-levitt seth rogen anna kendrick bryce dallas howard"
908,kick-ass,"action, comedy, crime",dave lizewski unnot high school student comic book fan one day decid becom superhero even though power train meaning reason,matthew vaughn,aaron taylor-johnson,nicolas cage,chloë grace moretz,garrett m. brown,"kick-ass action, comedy, crime dave lizewski unnot high school student comic book fan one day decid becom superhero even though power train meaning reason matthew vaughn aaron taylor-johnson nicolas cage chloë grace moretz garrett m. brown"
909,celda 211,"action, adventure, crime",stori two men differ side prison riot inmat lead rebellion young guard trap revolt pose prison desper attempt surviv ordeal,daniel monzón,luis tosar,alberto ammann,antonio resines,manuel morón,"celda 211 action, adventure, crime stori two men differ side prison riot inmat lead rebellion young guard trap revolt pose prison desper attempt surviv ordeal daniel monzón luis tosar alberto ammann antonio resines manuel morón"
910,moneyball,"biography, drama, sport",oakland gener manag billi bean success attempt assembl basebal team lean budget employ computergener analysi acquir new player,bennett miller,brad pitt,robin wright,jonah hill,philip seymour hoffman,"moneyball biography, drama, sport oakland gener manag billi bean success attempt assembl basebal team lean budget employ computergener analysi acquir new player bennett miller brad pitt robin wright jonah hill philip seymour hoffman"
911,la piel que habito,"drama, horror, thriller",brilliant plastic surgeon haunt past tragedi creat type synthet skin withstand kind damag guinea pig mysteri volatil woman hold key obsess,pedro almodóvar,antonio banderas,elena anaya,jan cornet,marisa paredes,"la piel que habito drama, horror, thriller brilliant plastic surgeon haunt past tragedi creat type synthet skin withstand kind damag guinea pig mysteri volatil woman hold key obsess pedro almodóvar antonio banderas elena anaya jan cornet marisa paredes"
912,zombieland,"adventure, comedy, fantasy",shi student tri reach famili ohio guntot tough guy tri find last twinki pair sister tri get amus park join forc travel across zombiefil america,ruben fleischer,jesse eisenberg,emma stone,woody harrelson,abigail breslin,"zombieland adventure, comedy, fantasy shi student tri reach famili ohio guntot tough guy tri find last twinki pair sister tri get amus park join forc travel across zombiefil america ruben fleischer jesse eisenberg emma stone woody harrelson abigail breslin"
913,die welle,"drama, thriller",high school teacher experi demonstr student life like dictatorship spin horribl control form social unit life,dennis gansel,jürgen vogel,frederick lau,max riemelt,jennifer ulrich,"die welle drama, thriller high school teacher experi demonstr student life like dictatorship spin horribl control form social unit life dennis gansel jürgen vogel frederick lau max riemelt jennifer ulrich"
914,sherlock holmes,"action, adventure, mystery",detect sherlock holm stalwart partner watson engag battl wit brawn nemesi whose plot threat england,guy ritchie,robert downey jr.,jude law,rachel mcadams,mark strong,"sherlock holmes action, adventure, mystery detect sherlock holm stalwart partner watson engag battl wit brawn nemesi whose plot threat england guy ritchie robert downey jr. jude law rachel mcadams mark strong"
915,the blind side,"biography, drama, sport",stori michael oher homeless traumat boy becam allamerican footbal player firstround nfl draft pick help care woman famili,john lee hancock,quinton aaron,sandra bullock,tim mcgraw,jae head,"the blind side biography, drama, sport stori michael oher homeless traumat boy becam allamerican footbal player firstround nfl draft pick help care woman famili john lee hancock quinton aaron sandra bullock tim mcgraw jae head"
916,the visitor,drama,colleg professor travel new york citi attend confer find young coupl live apart,tom mccarthy,richard jenkins,haaz sleiman,danai gurira,hiam abbass,the visitor drama colleg professor travel new york citi attend confer find young coupl live apart tom mccarthy richard jenkins haaz sleiman danai gurira hiam abbass
917,seven pounds,drama,man fate secret embark extraordinari journey redempt forev chang live seven stranger,gabriele muccino,will smith,rosario dawson,woody harrelson,michael ealy,seven pounds drama man fate secret embark extraordinari journey redempt forev chang live seven stranger gabriele muccino will smith rosario dawson woody harrelson michael ealy
918,eastern promises,"action, crime, drama",teenag die childbirth leav clue journal could tie child rape involv violent russian mob famili,david cronenberg,naomi watts,viggo mortensen,armin mueller-stahl,josef altin,"eastern promises action, crime, drama teenag die childbirth leav clue journal could tie child rape involv violent russian mob famili david cronenberg naomi watts viggo mortensen armin mueller-stahl josef altin"
919,stardust,"adventure, family, fantasy",countrysid town border magic land young man make promis belov hell retriev fallen star ventur magic realm,matthew vaughn,charlie cox,claire danes,sienna miller,ian mckellen,"stardust adventure, family, fantasy countrysid town border magic land young man make promis belov hell retriev fallen star ventur magic realm matthew vaughn charlie cox claire danes sienna miller ian mckellen"
920,the secret of kells,"animation, adventure, family",young boy remot mediev outpost sieg barbarian raid beckon adventur celebr master illumin arriv ancient book brim secret wisdom power,tomm moore,nora twomey,evan mcguire,brendan gleeson,mick lally,"the secret of kells animation, adventure, family young boy remot mediev outpost sieg barbarian raid beckon adventur celebr master illumin arriv ancient book brim secret wisdom power tomm moore nora twomey evan mcguire brendan gleeson mick lally"
921,inside man,"crime, drama, mystery",polic detect bank robber highpow broker enter highstak negoti crimin brilliant heist spiral hostag situat,spike lee,denzel washington,clive owen,jodie foster,christopher plummer,"inside man crime, drama, mystery polic detect bank robber highpow broker enter highstak negoti crimin brilliant heist spiral hostag situat spike lee denzel washington clive owen jodie foster christopher plummer"
922,gone baby gone,"crime, drama, mystery",two boston area detect investig littl girl kidnap ultim turn crisi profession person,ben affleck,morgan freeman,ed harris,casey affleck,michelle monaghan,"gone baby gone crime, drama, mystery two boston area detect investig littl girl kidnap ultim turn crisi profession person ben affleck morgan freeman ed harris casey affleck michelle monaghan"
923,la vie en rose,"biography, drama, music",biopic icon french singer dith piaf rais grandmoth brothel discov sing street corner age despit success piaf life fill tragedi,olivier dahan,marion cotillard,sylvie testud,pascal greggory,emmanuelle seigner,"la vie en rose biography, drama, music biopic icon french singer dith piaf rais grandmoth brothel discov sing street corner age despit success piaf life fill tragedi olivier dahan marion cotillard sylvie testud pascal greggory emmanuelle seigner"
924,huo yuan jia,"action, biography, drama",biographi chines martial art master huo yuanjia founder spiritu guru jin wu sport feder,ronny yu,jet li,li sun,yong dong,yun qu,"huo yuan jia action, biography, drama biographi chines martial art master huo yuanjia founder spiritu guru jin wu sport feder ronny yu jet li li sun yong dong yun qu"
925,the illusionist,"drama, fantasy, mystery",turnofthecenturi vienna magician use abil secur love woman far social stand,neil burger,edward norton,jessica biel,paul giamatti,rufus sewell,"the illusionist drama, fantasy, mystery turnofthecenturi vienna magician use abil secur love woman far social stand neil burger edward norton jessica biel paul giamatti rufus sewell"
926,dead man's shoes,"crime, drama, thriller",disaffect soldier return hometown get even thug brutal mentallychalleng brother year ago,shane meadows,paddy considine,gary stretch,toby kebbell,stuart wolfenden,"dead man's shoes crime, drama, thriller disaffect soldier return hometown get even thug brutal mentallychalleng brother year ago shane meadows paddy considine gary stretch toby kebbell stuart wolfenden"
927,harry potter and the half-blood prince,"action, adventure, family",harri potter begin sixth year hogwart discov old book mark properti halfblood princ begin learn lord voldemort dark past,david yates,daniel radcliffe,emma watson,rupert grint,michael gambon,"harry potter and the half-blood prince action, adventure, family harri potter begin sixth year hogwart discov old book mark properti halfblood princ begin learn lord voldemort dark past david yates daniel radcliffe emma watson rupert grint michael gambon"
928,300,"action, drama",king leonida sparta forc men fight persian thermopyla bc,zack snyder,gerard butler,lena headey,david wenham,dominic west,"300 action, drama king leonida sparta forc men fight persian thermopyla bc zack snyder gerard butler lena headey david wenham dominic west"
929,match point,"drama, romance, thriller",turn point life former tenni pro fall actress happen date friend soontob brotherinlaw,woody allen,scarlett johansson,jonathan rhys meyers,emily mortimer,matthew goode,"match point drama, romance, thriller turn point life former tenni pro fall actress happen date friend soontob brotherinlaw woody allen scarlett johansson jonathan rhys meyers emily mortimer matthew goode"
930,watchmen,"action, drama, mystery",former superhero exist murder colleagu send activ vigilant rorschach sprawl investig uncov someth could complet chang cours histori know,zack snyder,jackie earle haley,patrick wilson,carla gugino,malin akerman,"watchmen action, drama, mystery former superhero exist murder colleagu send activ vigilant rorschach sprawl investig uncov someth could complet chang cours histori know zack snyder jackie earle haley patrick wilson carla gugino malin akerman"
931,lord of war,"action, crime, drama",arm dealer confront moral work chase interpol agent,andrew niccol,nicolas cage,ethan hawke,jared leto,bridget moynahan,"lord of war action, crime, drama arm dealer confront moral work chase interpol agent andrew niccol nicolas cage ethan hawke jared leto bridget moynahan"
932,saw,"horror, mystery, thriller",two stranger awaken room recollect got soon discov theyr pawn deadli game perpetr notori serial killer,james wan,cary elwes,leigh whannell,danny glover,ken leung,"saw horror, mystery, thriller two stranger awaken room recollect got soon discov theyr pawn deadli game perpetr notori serial killer james wan cary elwes leigh whannell danny glover ken leung"
933,"synecdoche, new york",drama,theatr director struggl work women life creat lifes replica new york citi insid warehous part new play,charlie kaufman,philip seymour hoffman,samantha morton,michelle williams,catherine keener,"synecdoche, new york drama theatr director struggl work women life creat lifes replica new york citi insid warehous part new play charlie kaufman philip seymour hoffman samantha morton michelle williams catherine keener"
934,mysterious skin,drama,teenag hustler young man obsess alien abduct cross path togeth discov horribl liber truth,gregg araki,brady corbet,joseph gordon-levitt,elisabeth shue,chase ellison,mysterious skin drama teenag hustler young man obsess alien abduct cross path togeth discov horribl liber truth gregg araki brady corbet joseph gordon-levitt elisabeth shue chase ellison
935,jeux d'enfants,"comedy, drama, romance",adult best friend julien sophi continu odd game start children fearless competit outdo one anoth dare outrag stunt often act reliev one anoth pain game might way avoid fact truli meant one anoth,yann samuell,guillaume canet,marion cotillard,thibault verhaeghe,joséphine lebas-joly,"jeux d'enfants comedy, drama, romance adult best friend julien sophi continu odd game start children fearless competit outdo one anoth dare outrag stunt often act reliev one anoth pain game might way avoid fact truli meant one anoth yann samuell guillaume canet marion cotillard thibault verhaeghe joséphine lebas-joly"
936,un long dimanche de fiançailles,"drama, mystery, romance",tell stori young woman relentless search fianc disappear trench somm world war one,jean-pierre jeunet,audrey tautou,gaspard ulliel,jodie foster,dominique pinon,"un long dimanche de fiançailles drama, mystery, romance tell stori young woman relentless search fianc disappear trench somm world war one jean-pierre jeunet audrey tautou gaspard ulliel jodie foster dominique pinon"
937,the station agent,"comedy, drama",friend die man born dwarfism move rural new jersey live life solitud meet chatti hot dog vendor woman deal person loss,tom mccarthy,peter dinklage,patricia clarkson,bobby cannavale,paul benjamin,"the station agent comedy, drama friend die man born dwarfism move rural new jersey live life solitud meet chatti hot dog vendor woman deal person loss tom mccarthy peter dinklage patricia clarkson bobby cannavale paul benjamin"
938,21 grams,"crime, drama, thriller",freak accid bring togeth critic ill mathematician griev mother bornagain excon,alejandro g. iñárritu,sean penn,benicio del toro,naomi watts,danny huston,"21 grams crime, drama, thriller freak accid bring togeth critic ill mathematician griev mother bornagain excon alejandro g. iñárritu sean penn benicio del toro naomi watts danny huston"
939,boksuneun naui geot,"crime, drama, thriller",recent laid factori worker kidnap former boss friend daughter hope use ransom money pay sister kidney transplant,chan-wook park,kang-ho song,shin ha-kyun,bae doona,ji-eun lim,"boksuneun naui geot crime, drama, thriller recent laid factori worker kidnap former boss friend daughter hope use ransom money pay sister kidney transplant chan-wook park kang-ho song shin ha-kyun bae doona ji-eun lim"
940,finding neverland,"biography, drama, family",stori sir jm barri friendship famili inspir creat peter pan,marc forster,johnny depp,kate winslet,julie christie,radha mitchell,"finding neverland biography, drama, family stori sir jm barri friendship famili inspir creat peter pan marc forster johnny depp kate winslet julie christie radha mitchell"
941,25th hour,drama,corner dea convict new york drug dealer montgomeri brogan reevalu life remain hour face sevenyear jail term,spike lee,edward norton,barry pepper,philip seymour hoffman,rosario dawson,25th hour drama corner dea convict new york drug dealer montgomeri brogan reevalu life remain hour face sevenyear jail term spike lee edward norton barry pepper philip seymour hoffman rosario dawson
942,the butterfly effect,"drama, sci-fi, thriller",evan treborn suffer blackout signific event life grow find way rememb lost memori supernatur way alter life read journal,eric bress,j. mackye gruber,ashton kutcher,amy smart,melora walters,"the butterfly effect drama, sci-fi, thriller evan treborn suffer blackout signific event life grow find way rememb lost memori supernatur way alter life read journal eric bress j. mackye gruber ashton kutcher amy smart melora walters"
943,28 days later...,"drama, horror, sci-fi",four week mysteri incur viru spread throughout uk hand survivor tri find sanctuari,danny boyle,cillian murphy,naomie harris,christopher eccleston,alex palmer,"28 days later... drama, horror, sci-fi four week mysteri incur viru spread throughout uk hand survivor tri find sanctuari danny boyle cillian murphy naomie harris christopher eccleston alex palmer"
944,batoru rowaiaru,"action, adventure, drama",futur japanes govern captur class ninthgrad student forc kill revolutionari battl royal act,kinji fukasaku,tatsuya fujiwara,aki maeda,tarô yamamoto,takeshi kitano,"batoru rowaiaru action, adventure, drama futur japanes govern captur class ninthgrad student forc kill revolutionari battl royal act kinji fukasaku tatsuya fujiwara aki maeda tarô yamamoto takeshi kitano"
945,the royal tenenbaums,"comedy, drama",eccentr member dysfunct famili reluctantli gather roof variou reason,wes anderson,gene hackman,gwyneth paltrow,anjelica huston,ben stiller,"the royal tenenbaums comedy, drama eccentr member dysfunct famili reluctantli gather roof variou reason wes anderson gene hackman gwyneth paltrow anjelica huston ben stiller"
946,y tu mamá también,drama,mexico two teenag boy attract older woman embark road trip learn thing two life friendship sex,alfonso cuarón,maribel verdú,gael garcía bernal,daniel giménez cacho,ana lópez mercado,y tu mamá también drama mexico two teenag boy attract older woman embark road trip learn thing two life friendship sex alfonso cuarón maribel verdú gael garcía bernal daniel giménez cacho ana lópez mercado
947,harry potter and the sorcerer's stone,"adventure, family, fantasy",orphan boy enrol school wizardri learn truth famili terribl evil haunt magic world,chris columbus,daniel radcliffe,rupert grint,richard harris,maggie smith,"harry potter and the sorcerer's stone adventure, family, fantasy orphan boy enrol school wizardri learn truth famili terribl evil haunt magic world chris columbus daniel radcliffe rupert grint richard harris maggie smith"
948,the others,"horror, mystery, thriller",woman live darken old famili hous two photosensit children becom convinc home haunt,alejandro amenábar,nicole kidman,christopher eccleston,fionnula flanagan,alakina mann,"the others horror, mystery, thriller woman live darken old famili hous two photosensit children becom convinc home haunt alejandro amenábar nicole kidman christopher eccleston fionnula flanagan alakina mann"
949,blow,"biography, crime, drama",stori georg jung along medelln cartel head pablo escobar establish american cocain market unit state,ted demme,johnny depp,penélope cruz,franka potente,rachel griffiths,"blow biography, crime, drama stori georg jung along medelln cartel head pablo escobar establish american cocain market unit state ted demme johnny depp penélope cruz franka potente rachel griffiths"
950,enemy at the gates,"drama, history, war",russian german sniper play game catandmous battl stalingrad,jean-jacques annaud,jude law,ed harris,joseph fiennes,rachel weisz,"enemy at the gates drama, history, war russian german sniper play game catandmous battl stalingrad jean-jacques annaud jude law ed harris joseph fiennes rachel weisz"
951,minority report,"action, crime, mystery",futur special polic unit abl arrest murder commit crime offic unit accus futur murder,steven spielberg,tom cruise,colin farrell,samantha morton,max von sydow,"minority report action, crime, mystery futur special polic unit abl arrest murder commit crime offic unit accus futur murder steven spielberg tom cruise colin farrell samantha morton max von sydow"
952,the hurricane,"biography, drama, sport",stori rubin hurrican carter boxer wrongli imprison murder peopl aid fight prove innoc,norman jewison,denzel washington,vicellous shannon,deborah kara unger,liev schreiber,"the hurricane biography, drama, sport stori rubin hurrican carter boxer wrongli imprison murder peopl aid fight prove innoc norman jewison denzel washington vicellous shannon deborah kara unger liev schreiber"
953,american psycho,"comedy, crime, drama",wealthi new york citi invest bank execut patrick bateman hide altern psychopath ego cowork friend delv deeper violent hedonist fantasi,mary harron,christian bale,justin theroux,josh lucas,bill sage,"american psycho comedy, crime, drama wealthi new york citi invest bank execut patrick bateman hide altern psychopath ego cowork friend delv deeper violent hedonist fantasi mary harron christian bale justin theroux josh lucas bill sage"
954,lola rennt,"crime, drama, thriller",botch money deliveri lola minut come deutschmark,tom tykwer,franka potente,moritz bleibtreu,herbert knaup,nina petri,"lola rennt crime, drama, thriller botch money deliveri lola minut come deutschmark tom tykwer franka potente moritz bleibtreu herbert knaup nina petri"
955,the thin red line,"drama, war",adapt jame jone autobiograph novel focus conflict guadalcan second world war,terrence malick,jim caviezel,sean penn,nick nolte,kirk acevedo,"the thin red line drama, war adapt jame jone autobiograph novel focus conflict guadalcan second world war terrence malick jim caviezel sean penn nick nolte kirk acevedo"
956,mulan,"animation, adventure, family",save father death armi young maiden secretli goe place becom one china greatest heroin process,tony bancroft,barry cook,ming-na wen,eddie murphy,bd wong,"mulan animation, adventure, family save father death armi young maiden secretli goe place becom one china greatest heroin process tony bancroft barry cook ming-na wen eddie murphy bd wong"
957,fear and loathing in las vegas,"adventure, comedy, drama",oddbal journalist psychopath lawyer travel la vega seri psychedel escapad,terry gilliam,johnny depp,benicio del toro,tobey maguire,michael lee gogin,"fear and loathing in las vegas adventure, comedy, drama oddbal journalist psychopath lawyer travel la vega seri psychedel escapad terry gilliam johnny depp benicio del toro tobey maguire michael lee gogin"
958,funny games,"crime, drama, thriller",two violent young men take mother father son hostag vacat cabin forc play sadist game one anoth amus,michael haneke,susanne lothar,ulrich mühe,arno frisch,frank giering,"funny games crime, drama, thriller two violent young men take mother father son hostag vacat cabin forc play sadist game one anoth amus michael haneke susanne lothar ulrich mühe arno frisch frank giering"
959,dark city,"mystery, sci-fi, thriller",man struggl memori past includ wife rememb nightmarish world one els ever seem wake,alex proyas,rufus sewell,kiefer sutherland,jennifer connelly,william hurt,"dark city mystery, sci-fi, thriller man struggl memori past includ wife rememb nightmarish world one els ever seem wake alex proyas rufus sewell kiefer sutherland jennifer connelly william hurt"
960,sleepers,"crime, drama, thriller",prank goe disastr wrong group boy sent detent center brutal thirteen year later unexpect random encount former guard give chanc reveng,barry levinson,robert de niro,kevin bacon,brad pitt,jason patric,"sleepers crime, drama, thriller prank goe disastr wrong group boy sent detent center brutal thirteen year later unexpect random encount former guard give chanc reveng barry levinson robert de niro kevin bacon brad pitt jason patric"
961,lost highway,"mystery, thriller",anonym videotap presag musician murder convict gangster girlfriend lead mechan astray,david lynch,bill pullman,patricia arquette,john roselius,louis eppolito,"lost highway mystery, thriller anonym videotap presag musician murder convict gangster girlfriend lead mechan astray david lynch bill pullman patricia arquette john roselius louis eppolito"
962,sense and sensibility,"drama, romance",rich mr dashwood die leav second wife three daughter poor rule inherit two eldest daughter titl opposit,ang lee,emma thompson,kate winslet,james fleet,tom wilkinson,"sense and sensibility drama, romance rich mr dashwood die leav second wife three daughter poor rule inherit two eldest daughter titl opposit ang lee emma thompson kate winslet james fleet tom wilkinson"
963,die hard: with a vengeance,"action, adventure, thriller",john mcclane harlem store owner target german terrorist simon new york citi plan rob feder reserv build,john mctiernan,bruce willis,jeremy irons,samuel l. jackson,graham greene,"die hard: with a vengeance action, adventure, thriller john mcclane harlem store owner target german terrorist simon new york citi plan rob feder reserv build john mctiernan bruce willis jeremy irons samuel l. jackson graham greene"
964,dead man,"adventure, drama, fantasy",run murder man account william blake encount strang aborigin american man name nobodi prepar journey spiritu world,jim jarmusch,johnny depp,gary farmer,crispin glover,lance henriksen,"dead man adventure, drama, fantasy run murder man account william blake encount strang aborigin american man name nobodi prepar journey spiritu world jim jarmusch johnny depp gary farmer crispin glover lance henriksen"
965,the bridges of madison county,"drama, romance",photograph robert kincaid wander life housewif francesca johnson four day,clint eastwood,clint eastwood,meryl streep,annie corley,victor slezak,"the bridges of madison county drama, romance photograph robert kincaid wander life housewif francesca johnson four day clint eastwood clint eastwood meryl streep annie corley victor slezak"
966,apollo 13,"adventure, drama, history",nasa must devis strategi return apollo earth safe spacecraft undergo massiv intern damag put live three astronaut board jeopardi,ron howard,tom hanks,bill paxton,kevin bacon,gary sinise,"apollo 13 adventure, drama, history nasa must devis strategi return apollo earth safe spacecraft undergo massiv intern damag put live three astronaut board jeopardi ron howard tom hanks bill paxton kevin bacon gary sinise"
